Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2026-02-16,1420.0999755859375,1439.5999755859375,1409.300048828125,1437.0999755859375,5896514,0.0,0.0,RELIANCE
2026-02-17,1431.0999755859375,1431.800048828125,1418.5999755859375,1423.0,10731630,0.0,0.0,RELIANCE
2026-02-18,1427.0,1442.0999755859375,1419.199951171875,1441.300048828125,5521096,0.0,0.0,RELIANCE
2026-02-19,1443.0,1443.0,1400.0,1409.5,11884664,0.0,0.0,RELIANCE
2026-02-20,1409.5,1427.4000244140625,1406.0999755859375,1419.4000244140625,8177670,0.0,0.0,RELIANCE
2026-02-23,1425.0,1434.9000244140625,1418.300048828125,1428.0,7758856,0.0,0.0,RELIANCE
2026-02-24,1425.300048828125,1433.300048828125,1415.0,1428.800048828125,12529409,0.0,0.0,RELIANCE
2026-02-25,1435.0,1440.5,1393.5,1398.5,10728792,0.0,0.0,RELIANCE
2026-02-26,1398.5,1412.9000244140625,1391.9000244140625,1406.800048828125,16683858,0.0,0.0,RELIANCE
2026-02-27,1398.0,1410.4000244140625,1388.0999755859375,1393.9000244140625,12031440,0.0,0.0,RELIANCE
2026-03-02,1375.5,1378.5999755859375,1341.5,1358.0,23728722,0.0,0.0,RELIANCE
2026-03-04,1330.0,1352.800048828125,1307.0,1345.0,32495007,0.0,0.0,RELIANCE
2026-03-05,1353.0999755859375,1399.0,1353.0999755859375,1389.4000244140625,25957532,0.0,0.0,RELIANCE
2026-03-06,1396.5,1424.300048828125,1390.300048828125,1404.800048828125,19311971,0.0,0.0,RELIANCE
2026-03-09,1375.0,1429.4000244140625,1370.0,1424.0,24870822,0.0,0.0,RELIANCE
2026-03-10,1430.5999755859375,1431.5,1400.5999755859375,1408.800048828125,18071259,0.0,0.0,RELIANCE
2026-03-11,1424.9000244140625,1434.0,1383.5999755859375,1390.199951171875,21848087,0.0,0.0,RELIANCE
2026-03-12,1390.0,1410.9000244140625,1381.0999755859375,1392.199951171875,20939959,0.0,0.0,RELIANCE
2026-03-13,1385.199951171875,1400.800048828125,1378.4000244140625,1380.699951171875,17265090,0.0,0.0,RELIANCE
2026-03-16,,,,,5021543,0.0,0.0,RELIANCE
